,CrossYear_1.07C,FirstYear,LastYear
ACCESS1-0,2014,1999,2029
ACCESS1-3,2018,2003,2033
CCSM4,2000,1985,2015
CESM1-BGC,2003,1988,2018
CESM1-CAM5,2014,1999,2029
CMCC-CESM,2025,2010,2040
CMCC-CM,2017,2002,2032
CMCC-CMS,2020,2005,2035
CSIRO-Mk3-6-0,2022,2007,2037
CanESM2,2003,1988,2018
EC-EARTH,2002,1987,2017
GFDL-CM3,2013,1998,2028
IPSL-CM5A-MR,2003,1988,2018
IPSL-CM5B-LR,2007,1992,2022
MIROC-ESM,2010,1995,2025
MIROC-ESM-CHEM,2009,1994,2024
MIROC5,2018,2003,2033
MPI-ESM-LR,2003,1988,2018
MPI-ESM-MR,2004,1989,2019
MRI-CGCM3,2029,2014,2044
NorESM1-M,2019,2004,2034
bcc-csm1-1,2002,1987,2017
bcc-csm1-1-m,2000,1985,2015
inmcm4,2026,2011,2041
